product_cat_name,sum(sales_amount)
Combos and Kits,100.49
Dark Image Wayfarer Sunglasses,96.9
Bakeware,74.09999999999998
Makeup,71.75
Magic Kits,69.9
Tuelip Toys & School Supplies,69.23000000000002
Olvin Oval Sunglasses,62.68000000000001
Redex Cat-eye Sunglasses,59.97
Office Equipments,49.21999999999999
Racquet Sports,46.66
Learning & Educational Toys,39.42
Toy Guns & Weapons,35.37
Frames,35.28
Furniture & Furnishings,22.96
Olvin Aviator Sunglasses,12.75
Sanitaryware,7.33
Kitchen & Dining Furniture,7.159999999999999
